127.0.0.1 - - [25/Dec/2016:10:37:51 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [25/Dec/2016:10:37:53 +0530] "GET /NewShoppingCart/ HTTP/1.1" 200 445
0:0:0:0:0:0:0:1 - - [25/Dec/2016:10:38:00 +0530] "GET /NewShoppingCart/login HTTP/1.1" 200 623
0:0:0:0:0:0:0:1 - - [25/Dec/2016:10:38:05 +0530] "GET /NewShoppingCart/validate?id=niit&Password=niit HTTP/1.1" 200 400
0:0:0:0:0:0:0:1 - - [25/Dec/2016:10:38:37 +0530] "GET /NewShoppingCart/ HTTP/1.1" 200 421
0:0:0:0:0:0:0:1 - - [25/Dec/2016:10:38:37 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [25/Dec/2016:10:38:56 +0530] "GET /NewShoppingCart/Register HTTP/1.1" 200 739
0:0:0:0:0:0:0:1 - - [25/Dec/2016:10:39:03 +0530] "GET /NewShoppingCart/Register?FirstName=&LastName=&EmailID=&MobileNumber=&Address= HTTP/1.1" 200 739
0:0:0:0:0:0:0:1 - - [25/Dec/2016:10:53:56 +0530] "GET /NewShoppingCart/ HTTP/1.1" 200 421
0:0:0:0:0:0:0:1 - - [25/Dec/2016:10:53:58 +0530] "GET /NewShoppingCart/Register HTTP/1.1" 200 739
0:0:0:0:0:0:0:1 - - [25/Dec/2016:10:54:02 +0530] "GET /NewShoppingCart/login HTTP/1.1" 200 623
0:0:0:0:0:0:0:1 - - [25/Dec/2016:10:54:08 +0530] "GET /NewShoppingCart/validate?id=kaustubh&Password=kamat HTTP/1.1" 200 1211
0:0:0:0:0:0:0:1 - - [25/Dec/2016:11:54:43 +0530] "GET /NewShoppingCart/ HTTP/1.1" 200 421
0:0:0:0:0:0:0:1 - - [25/Dec/2016:11:54:46 +0530] "GET /NewShoppingCart/login HTTP/1.1" 200 623
0:0:0:0:0:0:0:1 - - [25/Dec/2016:11:54:51 +0530] "GET /NewShoppingCart/validate?id=niit&Password=niit HTTP/1.1" 200 376
