127.0.0.1 - - [08/Jan/2017:15:24:46 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [08/Jan/2017:15:24:47 +0530] "GET /NewShoppingCart/ HTTP/1.1" 200 5795
0:0:0:0:0:0:0:1 - - [08/Jan/2017:15:24:48 +0530] "GET /NewShoppingCart/resources/Images/Ciaz%201.jpg HTTP/1.1" 200 373767
0:0:0:0:0:0:0:1 - - [08/Jan/2017:15:24:48 +0530] "GET /NewShoppingCart/resources/Images/wagnor.jpg HTTP/1.1" 200 1201585
0:0:0:0:0:0:0:1 - - [08/Jan/2017:15:24:48 +0530] "GET /NewShoppingCart/resources/Images/Celerio1.jpg HTTP/1.1" 200 145578
0:0:0:0:0:0:0:1 - - [08/Jan/2017:15:24:48 +0530] "GET /NewShoppingCart/resources/Images/baleno.jpg HTTP/1.1" 200 370857
0:0:0:0:0:0:0:1 - - [08/Jan/2017:15:24:48 +0530] "GET /NewShoppingCart/resources/Images/ertiga.jpg HTTP/1.1" 200 239705
0:0:0:0:0:0:0:1 - - [08/Jan/2017:15:24:48 +0530] "GET /NewShoppingCart/resources/Images/swift.jpg HTTP/1.1" 200 147522
0:0:0:0:0:0:0:1 - - [08/Jan/2017:15:24:48 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [08/Jan/2017:15:25:17 +0530] "GET /NewShoppingCart/ HTTP/1.1" 200 5795
0:0:0:0:0:0:0:1 - - [08/Jan/2017:15:25:18 +0530] "GET /NewShoppingCart/resources/Images/Ciaz%201.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jan/2017:15:25:18 +0530] "GET /NewShoppingCart/resources/Images/wagnor.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jan/2017:15:25:18 +0530] "GET /NewShoppingCart/resources/Images/Celerio1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jan/2017:15:25:18 +0530] "GET /NewShoppingCart/resources/Images/baleno.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jan/2017:15:25:18 +0530] "GET /NewShoppingCart/resources/Images/swift.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jan/2017:15:25:18 +0530] "GET /NewShoppingCart/resources/Images/ertiga.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jan/2017:15:25:35 +0530] "GET /NewShoppingCart/ HTTP/1.1" 200 5795
0:0:0:0:0:0:0:1 - - [08/Jan/2017:15:25:41 +0530] "GET /NewShoppingCart/ HTTP/1.1" 200 5795
0:0:0:0:0:0:0:1 - - [08/Jan/2017:15:25:41 +0530] "GET /NewShoppingCart/ HTTP/1.1" 200 5795
0:0:0:0:0:0:0:1 - - [08/Jan/2017:15:25:41 +0530] "GET /NewShoppingCart/WEB-INF/views/Login.jsp HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [08/Jan/2017:15:25:41 +0530] "GET /NewShoppingCart/WEB-INF/views/Login.jsp HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [08/Jan/2017:15:25:41 +0530] "GET /NewShoppingCart/WEB-INF/views/Login.jsp HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [08/Jan/2017:15:26:07 +0530] "GET /NewShoppingCart/ HTTP/1.1" 200 5795
0:0:0:0:0:0:0:1 - - [08/Jan/2017:15:26:15 +0530] "GET /NewShoppingCart/AboutUs HTTP/1.1" 200 6408
0:0:0:0:0:0:0:1 - - [08/Jan/2017:15:26:29 +0530] "GET /NewShoppingCart/login HTTP/1.1" 200 4284
0:0:0:0:0:0:0:1 - - [08/Jan/2017:15:26:33 +0530] "GET /NewShoppingCart/Home HTTP/1.1" 200 5795
0:0:0:0:0:0:0:1 - - [08/Jan/2017:15:27:04 +0530] "GET /NewShoppingCart/ HTTP/1.1" 200 5795
0:0:0:0:0:0:0:1 - - [08/Jan/2017:15:27:09 +0530] "GET /NewShoppingCart/AboutUs HTTP/1.1" 200 6408
0:0:0:0:0:0:0:1 - - [08/Jan/2017:15:27:16 +0530] "GET /NewShoppingCart/login HTTP/1.1" 200 4284
0:0:0:0:0:0:0:1 - - [08/Jan/2017:15:27:23 +0530] "GET /NewShoppingCart/AboutUs HTTP/1.1" 200 6408
0:0:0:0:0:0:0:1 - - [08/Jan/2017:15:27:32 +0530] "GET /NewShoppingCart/AboutUs HTTP/1.1" 200 6408
0:0:0:0:0:0:0:1 - - [08/Jan/2017:15:27:34 +0530] "GET /NewShoppingCart/AboutUs HTTP/1.1" 200 6408
0:0:0:0:0:0:0:1 - - [08/Jan/2017:15:27:40 +0530] "GET /NewShoppingCart/Register HTTP/1.1" 200 5001
0:0:0:0:0:0:0:1 - - [08/Jan/2017:15:27:42 +0530] "GET /NewShoppingCart/login HTTP/1.1" 200 4284
0:0:0:0:0:0:0:1 - - [08/Jan/2017:15:27:44 +0530] "GET /NewShoppingCart/Home HTTP/1.1" 200 5795
0:0:0:0:0:0:0:1 - - [08/Jan/2017:15:28:00 +0530] "GET /NewShoppingCart/Home HTTP/1.1" 200 5795
0:0:0:0:0:0:0:1 - - [08/Jan/2017:15:28:29 +0530] "GET /NewShoppingCart/ HTTP/1.1" 200 5795
0:0:0:0:0:0:0:1 - - [08/Jan/2017:15:28:34 +0530] "GET /NewShoppingCart/AboutUs HTTP/1.1" 200 6408
0:0:0:0:0:0:0:1 - - [08/Jan/2017:15:32:36 +0530] "GET /NewShoppingCart/AboutUs HTTP/1.1" 200 6379
0:0:0:0:0:0:0:1 - - [08/Jan/2017:15:32:56 +0530] "GET /NewShoppingCart/AboutUs HTTP/1.1" 200 6384
0:0:0:0:0:0:0:1 - - [08/Jan/2017:15:50:48 +0530] "GET /NewShoppingCart/login HTTP/1.1" 200 4284
0:0:0:0:0:0:0:1 - - [08/Jan/2017:15:50:56 +0530] "GET /NewShoppingCart/validate?id=kaustubh235%40gmail.com&Password=kaustubh HTTP/1.1" 400 1111
0:0:0:0:0:0:0:1 - - [08/Jan/2017:15:51:07 +0530] "GET /NewShoppingCart/Register HTTP/1.1" 200 5001
0:0:0:0:0:0:0:1 - - [08/Jan/2017:15:56:31 +0530] "GET /NewShoppingCart/login HTTP/1.1" 200 4284
